"Date","BAC","C","JPM","WFC","GS","MS","AXP","COF","USB","FITB","XOM","CVX","COP","EOG","OXY","SLB","HAL","BKR","MRO","XEC"
2019-03-07,28.5499992370605,61.9000015258789,102.970001220703,49.6800003051758,192.770004272461,41.1699981689453,107.860000610352,81.2799987792969,50.6800003051758,26.6000003814697,80.1600036621094,121.940002441406,67.9499969482422,91.3499984741211,65.7399978637695,42.4900016784668,27.9300003051758,26.0499992370605,16.8600006103516,71.3899993896484
2019-03-08,28.6499996185303,62.060001373291,103.01000213623,49.7999992370605,195.240005493164,41.3600006103516,107.980003356934,81.370002746582,50.8699989318848,26.6700000762939,79.0100021362305,121.620002746582,65.4300003051758,86.4400024414062,62.7099990844727,41.2900009155273,27.4699993133545,25.7299995422363,16.2700004577637,68.2900009155273
2019-03-11,28.9400005340576,62.310001373291,104.349998474121,49.7599983215332,195.970001220703,41.8499984741211,109.559997558594,82.8499984741211,51.4599990844727,27.0699996948242,79.7799987792969,123.620002746582,65.870002746582,86.2600021362305,63.8800010681152,42.0800018310547,27.8899993896484,26.5,16.5699996948242,68.7399978637695
2019-03-12,28.9400005340576,62.810001373291,104.040000915527,49.6500015258789,196.630004882812,42.0299987792969,110.430000305176,82.9499969482422,51.0499992370605,27.8600006103516,80,123.900001525879,65.629997253418,86.9800033569336,64.1999969482422,42.5900001525879,28.0900001525879,26.8199996948242,16.8999996185303,70.0299987792969
2019-03-13,29.2900009155273,63.6500015258789,104.389999389648,49.9199981689453,197.25,42.4099998474121,112.139999389648,83.7399978637695,51.5800018310547,27.9799995422363,80.7099990844727,124.669998168945,67.3499984741211,88.5699996948242,65.0599975585938,43.1500015258789,28.5,27.25,17.3199996948242,70.5500030517578
2019-03-14,29.4599990844727,64.1100006103516,105.339996337891,50.3499984741211,197.470001220703,42.689998626709,112.349998474121,83.2099990844727,51.7099990844727,28.4099998474121,80.4400024414062,124.599998474121,67.0199966430664,89.6900024414062,65.2099990844727,43.0900001525879,28.4699993133545,27.7099990844727,17.2600002288818,70.5199966430664
2019-03-15,29.2999992370605,65.1900024414062,106.550003051758,50.6599998474121,198.259994506836,43.3300018310547,113.519996643066,84.3300018310547,52.0699996948242,28.3199996948242,80.1500015258789,125.309997558594,67.5899963378906,88.8499984741211,65.4700012207031,42.3899993896484,27.9699993133545,27.8500003814697,17.2700004577637,70.0599975585938
2019-03-18,29.8199996948242,65.9300003051758,107.190002441406,51.7299995422363,202.470001220703,44.0299987792969,113.550003051758,84.9000015258789,52.4500007629395,28.7600002288818,81.0800018310547,125.879997253418,67.6100006103516,91.9199981689453,67.0100021362305,43.3600006103516,28.8700008392334,28.1800003051758,17.3899993896484,71.8899993896484
2019-03-19,29.6499996185303,65.629997253418,106.800003051758,51.4099998474121,201.119995117188,43.9500007629395,112.669998168945,84.4100036621094,51.9300003051758,27.8199996948242,80.870002746582,125.279998779297,67.3499984741211,92.879997253418,66.1699981689453,43.25,29.2600002288818,27.8199996948242,17.1200008392334,70.6900024414062
2019-03-20,28.6399993896484,64.3000030517578,104.519996643066,50.4000015258789,194.320007324219,43.0299987792969,110.769996643066,82.9499969482422,50.3699989318848,26.4599990844727,81.3199996948242,124.690002441406,67.5400009155273,95.8899993896484,67.2600021362305,44.2900009155273,30.1000003814697,28.25,17.6000003814697,72.0800018310547
2019-03-21,28.1800003051758,63.9099998474121,102.870002746582,49.8600006103516,194.580001831055,43.1300010681152,111.819999694824,82.8899993896484,49.6599998474121,25.4799995422363,81.7900009155273,125.860000610352,68.1399993896484,96.870002746582,67.2399978637695,44.2200012207031,30.0400009155273,28.4599990844727,17.6900005340576,72.4300003051758
2019-03-22,27.0100002288818,60.9799995422363,99.7600021362305,48.310001373291,188.960006713867,41.7200012207031,109.459999084473,80,48.2799987792969,24.6200008392334,80.4800033569336,123.089996337891,66.0699996948242,93.6800003051758,65.2399978637695,42.4700012207031,28.7299995422363,27.1599998474121,16.6800003051758,67.9000015258789
2019-03-25,26.8400001525879,60.3300018310547,98.9300003051758,48.0800018310547,188.509994506836,41.25,109.040000915527,79.3600006103516,48.0999984741211,24.4200000762939,79.9199981689453,122.889999389648,67.0699996948242,92.7799987792969,65.129997253418,42.4700012207031,28.2399997711182,27.4300003051758,16.7099990844727,67.9000015258789
2019-03-26,27.2099990844727,61.2200012207031,99.9199981689453,49.0099983215332,190.690002441406,41.8800010681152,109.5,80.6600036621094,48.5099983215332,24.9799995422363,80.9599990844727,124.129997253418,68.5599975585938,94.7699966430664,67.0800018310547,43.0499992370605,28.4699993133545,27.6800003051758,17.1100006103516,70.1100006103516
2019-03-27,27.0300006866455,60.7299995422363,99.5800018310547,48.7700004577637,190.029998779297,41.3699989318848,108.980003356934,80.0699996948242,48.1300010681152,24.9500007629395,80.3399963378906,122.790000915527,67.9100036621094,94.5899963378906,66.3499984741211,42.6800003051758,28.5599994659424,27.2800006866455,17.0599994659424,70.1800003051758
2019-03-28,27.3299999237061,61.9799995422363,100.709999084473,49.0900001525879,191.179992675781,41.9300003051758,109.160003662109,80.9599990844727,48.0400009155273,25.3999996185303,80.7399978637695,123.019996643066,67.379997253418,95.2399978637695,66.5699996948242,43.6199989318848,29.1900005340576,27.1599998474121,16.8199996948242,70.6699981689453
2019-03-29,27.5900001525879,62.2200012207031,101.230003356934,48.3199996948242,191.990005493164,42.2000007629395,109.300003051758,81.6900024414062,48.189998626709,25.2199993133545,80.8000030517578,123.180000305176,66.7399978637695,95.1800003051758,66.1999969482422,43.5699996948242,29.2999992370605,27.7199993133545,16.7099990844727,69.9000015258789
2019-04-01,28.5400009155273,64.3600006103516,104.639999389648,48.810001373291,196.740005493164,43.5299987792969,111.699996948242,84.4800033569336,49.0699996948242,26.25,81.7300033569336,124.940002441406,67.6900024414062,96.9400024414062,67.1800003051758,44.7599983215332,30.1399993896484,27.8400001525879,17.3899993896484,70.0599975585938
2019-04-02,28.8700008392334,64.4199981689453,105.139999389648,48.2099990844727,197.5,43.7000007629395,111,84.6800003051758,49.1399993896484,26.2199993133545,81.379997253418,124.930000305176,66.3499984741211,96.0500030517578,66.629997253418,44.4900016784668,29.9400005340576,26.9899997711182,17.1299991607666,68.5699996948242
2019-04-03,28.8400001525879,65.0599975585938,105.349998474121,48.8600006103516,200.860000610352,44.3800010681152,110.559997558594,85.3099975585938,49.4199981689453,26.2600002288818,80.9000015258789,123.889999389648,65.5100021362305,93.9300003051758,66.0599975585938,43.5900001525879,29.9300003051758,26.4699993133545,16.9300003051758,65.6900024414062
2019-04-04,29.1499996185303,65.8199996948242,105.559997558594,49.1699981689453,202.229995727539,44.9300003051758,110.120002746582,86.6999969482422,49.7900009155273,26.75,82.0500030517578,124.800003051758,65.1600036621094,93.6699981689453,66.4400024414062,44.0999984741211,30.4200000762939,26.7700004577637,17.1399993896484,66.4800033569336
2019-04-05,29.0799999237061,65.5500030517578,105.309997558594,48.7799987792969,202.380004882812,44.9000015258789,110.959999084473,86.5400009155273,49.7000007629395,26.6900005340576,82.4899978637695,126.419998168945,66.120002746582,98.629997253418,68.0400009155273,45,30.9699993133545,26.7800006866455,17.7000007629395,68.8300018310547
